Numero_OL,Dia_Ocorrencia,Dia_Abertura,Status,Responsavel,Tipo_Projeto,Produto,Lote,Ensaio,Protocolo/Metodo,Parametro,Nome_Sequencia,Diretorio,Tipo_de_Erro,Ocorrencia,Avaliação,Classificação,Causa_Raiz,Criticidade,Data_atualização,Atualizado_Por,Status_Final
2025_OL_0147,13/03/2025,16/03/2025,Finalizado,José Moura,Estabilidade,Produto_16,BAN7e7,N_227,Protocolo_50,Exatidão,SEQ_43,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Equipamento,Sobrecarga de Trabalho,Média,21/03/2025,Luna Vasconcelos,Aprovado
2025_OL_0148,14/03/2025,15/03/2025,Finalizado,Benjamim Farias,Transferencia Analítica,Produto_19,BAN9aa,N_304,Protocolo_100,Exatidão,SEQ_84,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Procedimento ou Método Inadequado,Média,20/03/2025,Yasmin Garcia,Aprovado
2025_OL_0149,16/03/2025,19/03/2025,Finalizado,Heloisa da Mata,Solventes Residuais,Produto_3,BAN80c,N_240,Protocolo_36,Linearidade,SEQ_43,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Equipamento,Erro Isolado,Média,28/03/2025,Luiz Felipe Pastor,Aprovado
2025_OL_0150,16/03/2025,16/03/2025,Finalizado,Juliana Fonseca,Estabilidade,Produto_11,BAN7d2,N_326,Protocolo_64,Linearidade,SEQ_114,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Equipamento,Outros,Média,23/03/2025,Elisa Pinto,Reprovado
2025_OL_0151,16/03/2025,19/03/2025,Finalizado,Miguel da Cunha,Transferencia Analítica,Produto_23,BAN92a,N_312,Protocolo_65,Linearidade,SEQ_130,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Baixa,20/03/2025,Benjamin Nunes,Aprovado
2025_OL_0152,17/03/2025,18/03/2025,Finalizado,Dr. Luigi Ribeiro,Solventes Residuais,Produto_21,BAN8d2,N_330,Protocolo_57,Linearidade,SEQ_109,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Falta de Treinamento Adequado,Média,28/03/2025,Mirella Lopes,Reprovado
2025_OL_0153,17/03/2025,21/03/2025,Finalizado,Vitória Freitas,Estabilidade,Produto_23,BAN8fa,N_267,Protocolo_87,Linearidade,SEQ_36,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,22/03/2025,Sr. Guilherme Moreira,Aprovado
2025_OL_0154,17/03/2025,17/03/2025,Finalizado,Arthur Gabriel da Rocha,Liberação,Produto_24,BAN92d,N_209,Protocolo_19,Degradação Forçada,SEQ_71,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Treinamento Adequado,Média,23/03/2025,Dr. Ravi Almeida,Aprovado
2025_OL_0155,19/03/2025,19/03/2025,Finalizado,Felipe Pimenta,Liberação,Produto_7,BAN9b7,N_249,Protocolo_97,Exatidão,SEQ_74,Banco/Teor/Sequencias,Metodologia,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Baixa,22/03/2025,Caio Pinto,Aprovado
2025_OL_0156,19/03/2025,23/03/2025,Finalizado,Heloisa Almeida,Sumário de Validação,Produto_19,BAN7fb,N_271,Protocolo_51,Robustez,SEQ_115,Banco/Degradação/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,28/03/2025,Maria Julia Silveira,Aprovado
2025_OL_0157,20/03/2025,23/03/2025,Finalizado,Srta. Mirella Araújo,Liberação,Produto_21,BAN8ba,N_331,Protocolo_2,Exatidão,SEQ_146,Banco/Substancias/Sequencias,Material,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Documentação,Erro Isolado,Média,28/03/2025,Ana Montenegro,Aprovado
2025_OL_0158,20/03/2025,20/03/2025,Finalizado,Olivia Vieira,Solventes Residuais,Produto_10,BAN8c2,N_319,Protocolo_74,Robustez,SEQ_89,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Sobrecarga de Trabalho,Média,21/03/2025,Enzo Dias,Aprovado
2025_OL_0159,20/03/2025,21/03/2025,Finalizado,Maria Isis da Mata,Liberação,Produto_24,BAN8ca,N_235,Protocolo_60,Linearidade,SEQ_5,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Treinamento Adequado,Alta,25/03/2025,Dante Viana,Aprovado
2025_OL_0160,20/03/2025,21/03/2025,Finalizado,Sr. Pedro Lucas Marques,Sumário de Validação,Produto_17,BAN7fc,N_265,Protocolo_66,Precisão,SEQ_102,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,29/03/2025,Srta. Heloísa Silva,Aprovado
2025_OL_0161,20/03/2025,24/03/2025,Finalizado,Larissa da Paz,Liberação,Produto_16,BAN848,N_302,Protocolo_53,Estabilidade Bancada,SEQ_8,Banco/Solventes Residuais/Sequencias,Material,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Sobrecarga de Trabalho,Média,02/04/2025,André Teixeira,Aprovado
2025_OL_0162,21/03/2025,23/03/2025,Finalizado,Léo Abreu,Estabilidade,Produto_9,BAN9aa,N_261,Protocolo_80,Robustez,SEQ_19,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,31/03/2025,Luiza da Conceição,Aprovado
2025_OL_0163,22/03/2025,26/03/2025,Finalizado,Dra. Ester Nogueira,Estabilidade,Produto_12,BAN99e,N_286,Protocolo_26,Linearidade,SEQ_79,Banco/Teor/Sequencias,Material,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Sobrecarga de Trabalho,Média,27/03/2025,Srta. Maria Flor Nascimento,Aprovado
2025_OL_0164,23/03/2025,24/03/2025,Finalizado,Ana Lívia Albuquerque,Solventes Residuais,Produto_23,BAN901,N_230,Protocolo_39,Linearidade,SEQ_56,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,28/03/2025,Asafe Silveira,Aprovado
2025_OL_0165,23/03/2025,27/03/2025,Finalizado,André Novaes,Transferencia Analítica,Produto_1,BAN882,N_309,Protocolo_39,Degradação Forçada,SEQ_93,Banco/Teor/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Erro Isolado,Alta,03/04/2025,Pedro Lucas Fernandes,Aprovado
2025_OL_0166,24/03/2025,27/03/2025,Finalizado,Luiz Felipe Farias,Estabilidade,Produto_1,BAN7dd,N_251,Protocolo_13,Exatidão,SEQ_102,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Outros,Alta,02/04/2025,Gustavo Rios,Aprovado
2025_OL_0167,25/03/2025,25/03/2025,Finalizado,Julia Novaes,Solicitação de Analise,Produto_7,BAN855,N_290,Protocolo_9,Degradação Forçada,SEQ_1,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Procedimento ou Método Inadequado,Média,31/03/2025,Luna da Mota,Aprovado
2025_OL_0168,25/03/2025,27/03/2025,Finalizado,Maria Sampaio,Solventes Residuais,Produto_10,BAN983,N_208,Protocolo_32,Linearidade,SEQ_53,Banco/Substancias/Sequencias,Meio Ambiente,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Falta de Treinamento Adequado,Média,27/03/2025,Sr. Murilo Souza,Reprovado
2025_OL_0169,25/03/2025,28/03/2025,Finalizado,Nathan Sales,Sumário de Validação,Produto_15,BAN8f8,N_231,Protocolo_61,Linearidade,SEQ_126,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Documentação,Procedimento ou Método Inadequado,Média,02/04/2025,Isabelly Sales,Aprovado
2025_OL_0170,25/03/2025,29/03/2025,Finalizado,Henry Moreira,Solventes Residuais,Produto_24,BAN927,N_258,Protocolo_87,Robustez,SEQ_42,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Procedimento ou Método Inadequado,Média,07/04/2025,Sophie Siqueira,Aprovado
2025_OL_0171,26/03/2025,29/03/2025,Finalizado,Ágatha Ramos,Estabilidade,Produto_14,BAN9c4,N_219,Protocolo_61,Robustez,SEQ_139,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Revisão ou Checagem,Média,05/04/2025,Calebe Gomes,Aprovado
2025_OL_0172,26/03/2025,27/03/2025,Finalizado,Anthony Gabriel Teixeira,Solicitação de Analise,Produto_17,BAN9bf,N_317,Protocolo_43,Linearidade,SEQ_92,Banco/Estabilidade/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Documentação,Falta de Treinamento Adequado,Média,03/04/2025,Henry Dias,Aprovado
2025_OL_0173,27/03/2025,28/03/2025,Finalizado,Sr. Luiz Gustavo Vieira,Solventes Residuais,Produto_2,BAN971,N_344,Protocolo_81,Linearidade,SEQ_60,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Treinamento Adequado,Média,07/04/2025,Rhavi Almeida,Reprovado
2025_OL_0174,28/03/2025,30/03/2025,Finalizado,Bruno Vargas,Solicitação de Analise,Produto_5,BAN874,N_270,Protocolo_33,Exatidão,SEQ_4,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,04/04/2025,Antony Silva,Aprovado
2025_OL_0175,28/03/2025,30/03/2025,Finalizado,Sra. Maria Sophia Novais,Solventes Residuais,Produto_13,BAN971,N_307,Protocolo_2,Exatidão,SEQ_19,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,08/04/2025,Eduarda da Rocha,Aprovado
2025_OL_0176,28/03/2025,29/03/2025,Finalizado,Ana Luiza Santos,Validação Anlítica,Produto_7,BAN7e4,N_230,Protocolo_25,Linearidade,SEQ_30,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Erro Isolado,Média,04/04/2025,Mirella das Neves,Aprovado
2025_OL_0177,28/03/2025,30/03/2025,Finalizado,Enzo Cavalcanti,Estabilidade,Produto_12,BAN881,N_272,Protocolo_60,Exatidão,SEQ_5,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,09/04/2025,Alexandre Novais,Aprovado
2025_OL_0178,28/03/2025,28/03/2025,Finalizado,Sara da Conceição,Sumário de Validação,Produto_22,BAN858,N_301,Protocolo_97,Exatidão,SEQ_36,Banco/Degradação/Sequencias,Máquina,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Sobrecarga de Trabalho,Média,29/03/2025,Dra. Bella Almeida,Aprovado
2025_OL_0179,29/03/2025,01/04/2025,Finalizado,Léo Moraes,Solicitação de Analise,Produto_14,BAN86e,N_320,Protocolo_68,Linearidade,SEQ_14,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Sobrecarga de Trabalho,Média,01/04/2025,Diego Martins,Aprovado
2025_OL_0180,30/03/2025,30/03/2025,Finalizado,Sr. Miguel Caldeira,Solicitação de Analise,Produto_7,BAN8ee,N_259,Protocolo_28,Linearidade,SEQ_97,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Média,30/03/2025,Luiz Felipe Martins,Aprovado
2025_OL_0181,30/03/2025,02/04/2025,Finalizado,Maria Flor Ferreira,Sumário de Validação,Produto_22,BAN857,N_288,Protocolo_54,Linearidade,SEQ_5,Banco/Substancias/Sequencias,Meio Ambiente,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,11/04/2025,Maria Luísa Nascimento,Aprovado
2025_OL_0182,30/03/2025,01/04/2025,Finalizado,Eduardo Pinto,Solicitação de Analise,Produto_14,BAN7e1,N_247,Protocolo_1,Exatidão,SEQ_17,Banco/Degradação/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Média,07/04/2025,Sra. Laís Nunes,Aprovado
2025_OL_0183,30/03/2025,31/03/2025,Finalizado,Maria Eduarda Mendes,Liberação,Produto_13,BAN872,N_269,Protocolo_27,Linearidade,SEQ_31,Banco/Solventes Residuais/Sequencias,Meio Ambiente,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Média,10/04/2025,Clara Pereira,Aprovado
2025_OL_0184,31/03/2025,02/04/2025,Finalizado,Ísis Moraes,Sumário de Validação,Produto_8,BAN80e,N_342,Protocolo_33,Exatidão,SEQ_17,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Média,06/04/2025,Luan Machado,Aprovado
2025_OL_0185,31/03/2025,01/04/2025,Finalizado,Marina Sousa,Liberação,Produto_6,BAN88a,N_311,Protocolo_87,Linearidade,SEQ_142,Banco/Substancias/Sequencias,Máquina,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,05/04/2025,Ana Vitória Azevedo,Aprovado
2025_OL_0186,02/04/2025,05/04/2025,Finalizado,Dra. Mirella da Rosa,Estabilidade,Produto_2,BAN8f8,N_319,Protocolo_86,Exatidão,SEQ_64,Banco/Degradação/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,11/04/2025,Valentina Rodrigues,Reprovado
2025_OL_0187,02/04/2025,06/04/2025,Finalizado,Emanuelly das Neves,Solventes Residuais,Produto_4,BAN8c8,N_307,Protocolo_22,Exatidão,SEQ_86,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Sobrecarga de Trabalho,Média,16/04/2025,João Vitor Cavalcanti,Aprovado
2025_OL_0188,02/04/2025,06/04/2025,Finalizado,Danilo Montenegro,Liberação,Produto_4,BAN87c,N_347,Protocolo_55,Linearidade,SEQ_47,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Média,15/04/2025,Ísis Nogueira,Aprovado
2025_OL_0189,03/04/2025,06/04/2025,Finalizado,Dr. Théo Sampaio,Sumário de Validação,Produto_1,BAN8aa,N_258,Protocolo_46,Linearidade,SEQ_146,Banco/Teor/Sequencias,Material,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Material/Amostra,Procedimento ou Método Inadequado,Média,12/04/2025,Alícia da Paz,Aprovado
2025_OL_0190,04/04/2025,04/04/2025,Finalizado,Ísis Lopes,Liberação,Produto_16,BAN938,N_326,Protocolo_56,Exatidão,SEQ_45,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Média,07/04/2025,Rhavi Mendes,Aprovado
2025_OL_0191,05/04/2025,05/04/2025,Finalizado,José Miguel Lopes,Estabilidade,Produto_20,BAN8d9,N_247,Protocolo_95,Linearidade,SEQ_38,Banco/Estabilidade/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Erro Isolado,Média,05/04/2025,Pietro Cardoso,Reprovado
2025_OL_0192,06/04/2025,08/04/2025,Finalizado,Fernando Vasconcelos,Estabilidade,Produto_10,BAN92e,N_332,Protocolo_97,Exatidão,SEQ_20,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Baixa,08/04/2025,Cecília Rios,Aprovado
2025_OL_0193,07/04/2025,08/04/2025,Finalizado,Sabrina Teixeira,Solventes Residuais,Produto_12,BAN998,N_237,Protocolo_3,Exatidão,SEQ_94,Banco/Estabilidade/Sequencias,Material,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,10/04/2025,Isabela da Paz,Aprovado
2025_OL_0194,08/04/2025,08/04/2025,Finalizado,Gustavo Henrique Souza,Solventes Residuais,Produto_14,BAN8e6,N_202,Protocolo_25,Linearidade,SEQ_72,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Erro Isolado,Baixa,14/04/2025,Helena Melo,Aprovado
2025_OL_0195,08/04/2025,09/04/2025,Finalizado,Diego Pimenta,Estabilidade,Produto_2,BAN949,N_307,Protocolo_28,Exatidão,SEQ_119,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Erro Isolado,Baixa,18/04/2025,Pietra Abreu,Aprovado
2025_OL_0196,09/04/2025,10/04/2025,Finalizado,Ana Abreu,Liberação,Produto_23,BAN9b4,N_323,Protocolo_24,Precisão,SEQ_111,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,20/04/2025,Maria Luiza Sousa,Aprovado
2025_OL_0197,09/04/2025,12/04/2025,Finalizado,Helena Cavalcanti,Sumário de Validação,Produto_12,BAN8d9,N_225,Protocolo_94,Linearidade,SEQ_22,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Revisão ou Checagem,Média,16/04/2025,Pedro Henrique da Paz,Reprovado
2025_OL_0198,09/04/2025,13/04/2025,Finalizado,Augusto Monteiro,Solicitação de Analise,Produto_11,BAN801,N_287,Protocolo_38,Linearidade,SEQ_108,Banco/Degradação/Sequencias,Meio Ambiente,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,18/04/2025,Liz Andrade,Aprovado
2025_OL_0199,11/04/2025,15/04/2025,Finalizado,Raul Aragão,Estabilidade,Produto_22,BAN850,N_265,Protocolo_27,Linearidade,SEQ_113,Banco/Substancias/Sequencias,Meio Ambiente,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Erro Isolado,Média,25/04/2025,Alana Costela,Reprovado
2025_OL_0200,11/04/2025,13/04/2025,Finalizado,Leonardo Novaes,Estabilidade,Produto_24,BAN95b,N_211,Protocolo_1,Degradação Forçada,SEQ_68,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Falta de Treinamento Adequado,Média,21/04/2025,Maria Júlia Sales,Aprovado
2025_OL_0201,12/04/2025,15/04/2025,Finalizado,Lunna Rios,Sumário de Validação,Produto_1,BAN7f8,N_343,Protocolo_47,Linearidade,SEQ_57,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Treinamento Adequado,Média,21/04/2025,Dra. Rafaela Azevedo,Reprovado
2025_OL_0202,12/04/2025,14/04/2025,Finalizado,Josué Carvalho,Estabilidade,Produto_2,BAN877,N_298,Protocolo_13,Linearidade,SEQ_123,Banco/Degradação/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,24/04/2025,Luana Nascimento,Aprovado
2025_OL_0203,13/04/2025,17/04/2025,Finalizado,Dr. Enrico Cavalcante,Sumário de Validação,Produto_13,BAN928,N_293,Protocolo_45,Linearidade,SEQ_34,Banco/Substancias/Sequencias,Material,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Falta de Treinamento Adequado,Média,17/04/2025,Dra. Hadassa Guerra,Reprovado
2025_OL_0204,13/04/2025,16/04/2025,Finalizado,Sofia Costa,Liberação,Produto_18,BAN88c,N_286,Protocolo_15,Degradação Forçada,SEQ_83,Banco/Degradação/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,22/04/2025,Ana Cecília Cunha,Aprovado
2025_OL_0205,13/04/2025,16/04/2025,Finalizado,Eduardo Sales,Sumário de Validação,Produto_11,BAN7e9,N_320,Protocolo_59,Exatidão,SEQ_36,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,23/04/2025,Arthur Miguel Santos,Reprovado
2025_OL_0206,15/04/2025,15/04/2025,Finalizado,Clara Viana,Estabilidade,Produto_14,BAN8fd,N_329,Protocolo_53,Estabilidade Bancada,SEQ_30,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,16/04/2025,Caroline Pinto,Aprovado
2025_OL_0207,15/04/2025,17/04/2025,Finalizado,Cauã Martins,Validação Anlítica,Produto_21,BAN99e,N_222,Protocolo_35,Exatidão,SEQ_121,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Equipamento,Outros,Média,25/04/2025,Luiza Pinto,Aprovado
2025_OL_0208,16/04/2025,19/04/2025,Finalizado,Leandro Moura,Fotoestabilidade,Produto_1,BAN7d3,N_293,Protocolo_13,Precisão,SEQ_141,Banco/Substancias/Sequencias,Material,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,21/04/2025,Elisa da Luz,Aprovado
2025_OL_0209,16/04/2025,16/04/2025,Finalizado,Giovanna Vieira,Estabilidade,Produto_8,BAN9a2,N_323,Protocolo_67,Exatidão,SEQ_83,Banco/Estabilidade/Sequencias,Máquina,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Revisão ou Checagem,Média,24/04/2025,Nina Fonseca,Aprovado
2025_OL_0210,17/04/2025,19/04/2025,Finalizado,Esther Pereira,Liberação,Produto_6,BAN89e,N_229,Protocolo_67,Robustez,SEQ_122,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Erro Isolado,Média,22/04/2025,Léo Pastor,Aprovado
2025_OL_0211,17/04/2025,19/04/2025,Finalizado,Stella Moreira,Sumário de Validação,Produto_17,BAN818,N_239,Protocolo_64,Precisão,SEQ_55,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Falta de Treinamento Adequado,Média,21/04/2025,Pietro da Rosa,Aprovado
2025_OL_0212,18/04/2025,19/04/2025,Finalizado,Oliver Gonçalves,Solicitação de Analise,Produto_4,BAN7ec,N_321,Protocolo_35,Linearidade,SEQ_137,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Erro Isolado,Média,25/04/2025,Sra. Rebeca Cavalcanti,Aprovado
2025_OL_0213,19/04/2025,21/04/2025,Finalizado,Diego da Mata,Estabilidade,Produto_4,BAN844,N_247,Protocolo_43,Exatidão,SEQ_103,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Falta de Revisão ou Checagem,Média,30/04/2025,Beatriz Abreu,Aprovado
2025_OL_0214,19/04/2025,20/04/2025,Finalizado,Mariana da Mata,Solventes Residuais,Produto_12,BAN91f,N_226,Protocolo_96,Linearidade,SEQ_39,Banco/Degradação/Sequencias,Máquina,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,20/04/2025,Alícia Vasconcelos,Reprovado
2025_OL_0215,20/04/2025,21/04/2025,Finalizado,Sophie Melo,Estabilidade,Produto_12,BAN987,N_236,Protocolo_8,Degradação Forçada,SEQ_51,Banco/Estabilidade/Sequencias,Material,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Sobrecarga de Trabalho,Média,26/04/2025,Paulo Lima,Aprovado
2025_OL_0216,21/04/2025,25/04/2025,Finalizado,Maria Silva,Transferencia Analítica,Produto_2,BAN974,N_338,Protocolo_75,Exatidão,SEQ_4,Banco/Degradação/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,01/05/2025,Noah Abreu,Aprovado
2025_OL_0217,21/04/2025,23/04/2025,Finalizado,Heloísa Cavalcante,Liberação,Produto_22,BAN855,N_277,Protocolo_54,Exatidão,SEQ_107,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Equipamento,Procedimento ou Método Inadequado,Média,25/04/2025,Alexia da Cunha,Reprovado
2025_OL_0218,21/04/2025,23/04/2025,Finalizado,Clarice da Cruz,Estabilidade,Produto_22,BAN89f,N_217,Protocolo_66,Linearidade,SEQ_90,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Falta de Revisão ou Checagem,Média,24/04/2025,Vinicius Costela,Reprovado
2025_OL_0219,21/04/2025,24/04/2025,Finalizado,Sr. Apollo Cardoso,Transferencia Analítica,Produto_14,BAN7d5,N_332,Protocolo_30,Linearidade,SEQ_51,Banco/Degradação/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Revisão ou Checagem,Média,26/04/2025,Renan Silveira,Reprovado
2025_OL_0220,21/04/2025,23/04/2025,Finalizado,Sra. Hadassa Teixeira,Fotoestabilidade,Produto_16,BAN9c4,N_315,Protocolo_62,Degradação Forçada,SEQ_44,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Documentação,Sobrecarga de Trabalho,Média,02/05/2025,Aylla Porto,Aprovado
2025_OL_0221,22/04/2025,24/04/2025,Finalizado,Sr. Luiz Fernando Almeida,Estabilidade,Produto_24,BAN8de,N_211,Protocolo_25,Linearidade,SEQ_131,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,01/05/2025,Luiz Otávio Freitas,Aprovado
